"campaign_name";"segment_name";"sku";"config_name";
"Día de la Madre";"";"HP425EL0AW850LAAR";"Notebook Hp Pavilion 15-cc665 I7-8550u 1tb 12gb Fhd Ips Touch";
"Día de la Madre";"";"DE052EL0TOIL8LAAR";"Notebook 2 en 1 Dell Latitude 5285 2 En 1 Core I5-7300u 256gb 8gb";
"Día de la Madre";"";"DE052EL01A518LAAR";"Notebook Dell Inspiron 3567 I5-7200u 8gb 1tb 15,6 Dvdrw W10";
"Día de la Madre";"";"AC002EL14KBJ0LAAR";"Notebook Acer Intel Core I5 7200U 15.6" 8GB 1TB HDD Win10";
"Día de la Madre";"";"LE053EL0ADVN8LAAR";"Notebook Lenovo Ideapad 320  I7 7500u 4gb 2tb 14" Win10";
"Día de la Madre";"";"AC002EL0AASJ8LAAR";"Notebook Acer Aspire A315 I5 7200u 6gb 1tb 15,6" HD";
"Día de la Madre";"";"DE052EL1B7O1GLAAR";"Notebook Dell Inspiron 3565 Amd A6 4gb 500gb R4 15,6 W10";
"Día de la Madre";"";"HP425EL19G180LAAR";"NOTEBOOK HP Celeron 4GB 500gb 14" 240 G6";
"Día de la Madre";"";"LE053EL0BUQCGLAAR";"Notebook Cloudbook Lenovo Ip120s Celeron N3350 4g 32gb Ssd W10 14"";
"Día de la Madre";"";"DE052EL0EVJ38LAAR";"Notebook Dell Inspiron 3180 Amd A6 4gb 32gb 11.6 Office 365";
"Día de la Madre";"";"SA029EL02U55SLAAR";"MONITOR 22" SAMSUNG LED LS22F350FHL 1080p Full HD";
"Día de la Madre";"";"VI302EL1LL10GLAAR";"Monitor Viewsonic 22” Led Full HD VA2261-2";
"Día de la Madre";"";"SE546EL1BXMJ4LAAR";"Disco Externo 1 TB PORTABLE SEAGATE BACKUP PLUS SLIM SILVER";
"Día de la Madre";"";"TP332EL1HN0L8LAAR";"ROUTER WIRELESS TP-LINK-TL-WR940N ID 450MBPS. 3 ANTENAS 4 LAN +1 WAN";
"Día de la Madre";"";"RE050EL04V0M8LAAR";"Joystick Gamepad Redragon Saturn G807 Usb Pc Ps3 Vibración B";
